Feature,Importance
numerical__tenure,0.1750567389854913
numerical__TotalCharges,0.14340304112639374
categorical__Contract_Two year,0.11044106544564633
numerical__MonthlyCharges,0.09702287699642947
categorical__InternetService_Fiber optic,0.06722740036218675
categorical__PaymentMethod_Electronic check,0.05452153191936248
categorical__Contract_One year,0.044254212121070856
categorical__OnlineSecurity_Yes,0.030948228966884237
categorical__TechSupport_Yes,0.02667398925981495
categorical__StreamingMovies_No internet service,0.018404862359017143
categorical__PaperlessBilling_Yes,0.018073736996860098
categorical__OnlineBackup_Yes,0.017172535972991475
categorical__InternetService_No,0.016415753928624172
categorical__DeviceProtection_No internet service,0.014897051237945854
categorical__StreamingTV_No internet service,0.014252261922457932
categorical__OnlineSecurity_No internet service,0.013947798050214979
categorical__Partner_Yes,0.013895343473203647
categorical__Dependents_Yes,0.012790890794340362
categorical__gender_Male,0.01271152493041285
categorical__TechSupport_No internet service,0.012158478817212161
categorical__MultipleLines_Yes,0.011704724316275318
categorical__OnlineBackup_No internet service,0.01060491683878339
numerical__SeniorCitizen,0.010372444619358417
categorical__StreamingMovies_Yes,0.009972692678046045
categorical__StreamingTV_Yes,0.009580160186394755
categorical__DeviceProtection_Yes,0.009505225653844616
categorical__PaymentMethod_Credit card (automatic),0.008667312572165345
categorical__PaymentMethod_Mailed check,0.007743459007144805
categorical__PhoneService_Yes,0.003909352154639855
categorical__MultipleLines_No phone service,0.003670388306786619
